filename     , method , norme , relax , regul , ePredA , ePredB , ePredavg , eDistrA , eDistrB , eDistravg , cpu   
tab49.txt    , joint  , 0     , 0.40  , 0.10  , 0.215  , 0.067  , 0.141    , 0.063   , 0.098   , 0.081     , 0.10  
tab5.txt     , joint  , 0     , 0.40  , 0.10  , 0.211  , 0.081  , 0.146    , 0.042   , 0.096   , 0.069     , 0.13  
tab50.txt    , joint  , 0     , 0.40  , 0.10  , 0.212  , 0.205  , 0.208    , 0.088   , 0.116   , 0.102     , 0.11  
tab51.txt    , joint  , 0     , 0.40  , 0.10  , 0.204  , 0.073  , 0.139    , 0.110   , 0.053   , 0.081     , 0.10  
tab52.txt    , joint  , 0     , 0.40  , 0.10  , 0.205  , 0.065  , 0.135    , 0.073   , 0.049   , 0.061     , 0.13  
tab53.txt    , joint  , 0     , 0.40  , 0.10  , 0.191  , 0.120  , 0.155    , 0.093   , 0.070   , 0.081     , 0.10  
tab54.txt    , joint  , 0     , 0.40  , 0.10  , 0.202  , 0.080  , 0.141    , 0.085   , 0.039   , 0.062     , 0.11  
tab55.txt    , joint  , 0     , 0.40  , 0.10  , 0.210  , 0.062  , 0.136    , 0.048   , 0.046   , 0.047     , 0.13  
tab56.txt    , joint  , 0     , 0.40  , 0.10  , 0.213  , 0.075  , 0.144    , 0.090   , 0.041   , 0.065     , 0.10  
tab57.txt    , joint  , 0     , 0.40  , 0.10  , 0.194  , 0.066  , 0.130    , 0.122   , 0.094   , 0.108     , 0.10  
tab58.txt    , joint  , 0     , 0.40  , 0.10  , 0.204  , 0.049  , 0.127    , 0.047   , 0.021   , 0.034     , 0.13  
tab59.txt    , joint  , 0     , 0.40  , 0.10  , 0.217  , 0.071  , 0.144    , 0.076   , 0.050   , 0.063     , 0.10  
tab6.txt     , joint  , 0     , 0.40  , 0.10  , 0.205  , 0.081  , 0.143    , 0.109   , 0.081   , 0.095     , 0.11  
tab60.txt    , joint  , 0     , 0.40  , 0.10  , 0.207  , 0.056  , 0.132    , 0.075   , 0.054   , 0.064     , 0.13  
tab61.txt    , joint  , 0     , 0.40  , 0.10  , 0.204  , 0.053  , 0.129    , 0.042   , 0.054   , 0.048     , 0.10  
tab62.txt    , joint  , 0     , 0.40  , 0.10  , 0.208  , 0.074  , 0.141    , 0.059   , 0.060   , 0.060     , 0.10  
tab63.txt    , joint  , 0     , 0.40  , 0.10  , 0.200  , 0.071  , 0.136    , 0.098   , 0.040   , 0.069     , 0.14  
tab64.txt    , joint  , 0     , 0.40  , 0.10  , 0.234  , 0.071  , 0.152    , 0.168   , 0.051   , 0.110     , 0.10  
tab65.txt    , joint  , 0     , 0.40  , 0.10  , 0.185  , 0.056  , 0.120    , 0.085   , 0.041   , 0.063     , 0.11  
tab66.txt    , joint  , 0     , 0.40  , 0.10  , 0.184  , 0.065  , 0.124    , 0.102   , 0.074   , 0.088     , 0.13  
tab67.txt    , joint  , 0     , 0.40  , 0.10  , 0.199  , 0.171  , 0.185    , 0.092   , 0.117   , 0.105     , 0.10  
tab68.txt    , joint  , 0     , 0.40  , 0.10  , 0.204  , 0.068  , 0.136    , 0.090   , 0.059   , 0.074     , 0.11  
tab69.txt    , joint  , 0     , 0.40  , 0.10  , 0.201  , 0.072  , 0.137    , 0.071   , 0.024   , 0.048     , 0.13  
tab7.txt     , joint  , 0     , 0.40  , 0.10  , 0.223  , 0.049  , 0.136    , 0.081   , 0.061   , 0.071     , 0.10  
tab70.txt    , joint  , 0     , 0.40  , 0.10  , 0.208  , 0.069  , 0.139    , 0.096   , 0.083   , 0.089     , 0.11  
tab71.txt    , joint  , 0     , 0.40  , 0.10  , 0.188  , 0.063  , 0.126    , 0.069   , 0.050   , 0.059     , 0.13  
tab72.txt    , joint  , 0     , 0.40  , 0.10  , 0.215  , 0.084  , 0.149    , 0.106   , 0.101   , 0.103     , 0.10  
tab73.txt    , joint  , 0     , 0.40  , 0.10  , 0.217  , 0.063  , 0.140    , 0.059   , 0.088   , 0.074     , 0.10  
tab74.txt    , joint  , 0     , 0.40  , 0.10  , 0.190  , 0.061  , 0.126    , 0.067   , 0.082   , 0.075     , 0.13  
tab75.txt    , joint  , 0     , 0.40  , 0.10  , 0.214  , 0.062  , 0.138    , 0.064   , 0.064   , 0.064     , 0.10  
tab76.txt    , joint  , 0     , 0.40  , 0.10  , 0.260  , 0.059  , 0.160    , 0.152   , 0.052   , 0.102     , 0.11  
tab77.txt    , joint  , 0     , 0.40  , 0.10  , 0.224  , 0.055  , 0.140    , 0.054   , 0.076   , 0.065     , 0.14  
tab78.txt    , joint  , 0     , 0.40  , 0.10  , 0.202  , 0.076  , 0.139    , 0.143   , 0.081   , 0.112     , 0.10  
tab79.txt    , joint  , 0     , 0.40  , 0.10  , 0.234  , 0.130  , 0.182    , 0.055   , 0.120   , 0.088     , 0.11  
