filename     , method , norme , relax , regul , ePredA , ePredB , ePredavg , eDistrA , eDistrB , eDistravg , cpu   
tab1.txt     , joint  , 0     , 0.40  , 0.10  , 0.190  , 0.060  , 0.125    , 0.087   , 0.046   , 0.066     , 0.22  
tab10.txt    , joint  , 0     , 0.40  , 0.10  , 0.207  , 0.068  , 0.138    , 0.103   , 0.024   , 0.063     , 0.23  
tab100.txt   , joint  , 0     , 0.40  , 0.10  , 0.214  , 0.062  , 0.138    , 0.102   , 0.060   , 0.081     , 0.25  
tab11.txt    , joint  , 0     , 0.40  , 0.10  , 0.258  , 0.082  , 0.170    , 0.103   , 0.051   , 0.077     , 0.22  
tab12.txt    , joint  , 0     , 0.40  , 0.10  , 0.204  , 0.071  , 0.138    , 0.110   , 0.047   , 0.079     , 0.26  
tab13.txt    , joint  , 0     , 0.40  , 0.10  , 0.210  , 0.073  , 0.141    , 0.116   , 0.047   , 0.082     , 0.22  
tab14.txt    , joint  , 0     , 0.40  , 0.10  , 0.223  , 0.077  , 0.150    , 0.097   , 0.069   , 0.083     , 0.25  
tab15.txt    , joint  , 0     , 0.40  , 0.10  , 0.217  , 0.052  , 0.135    , 0.098   , 0.068   , 0.083     , 0.22  
tab16.txt    , joint  , 0     , 0.40  , 0.10  , 0.187  , 0.068  , 0.128    , 0.113   , 0.038   , 0.075     , 0.25  
tab17.txt    , joint  , 0     , 0.40  , 0.10  , 0.212  , 0.054  , 0.133    , 0.086   , 0.022   , 0.054     , 0.22  
tab18.txt    , joint  , 0     , 0.40  , 0.10  , 0.219  , 0.065  , 0.142    , 0.080   , 0.091   , 0.086     , 0.25  
tab19.txt    , joint  , 0     , 0.40  , 0.10  , 0.183  , 0.073  , 0.128    , 0.092   , 0.064   , 0.078     , 0.22  
tab2.txt     , joint  , 0     , 0.40  , 0.10  , 0.233  , 0.047  , 0.140    , 0.066   , 0.052   , 0.059     , 0.25  
tab20.txt    , joint  , 0     , 0.40  , 0.10  , 0.204  , 0.062  , 0.133    , 0.088   , 0.040   , 0.064     , 0.22  
tab21.txt    , joint  , 0     , 0.40  , 0.10  , 0.227  , 0.060  , 0.143    , 0.093   , 0.068   , 0.081     , 0.25  
tab22.txt    , joint  , 0     , 0.40  , 0.10  , 0.195  , 0.067  , 0.131    , 0.083   , 0.054   , 0.068     , 0.22  
tab23.txt    , joint  , 0     , 0.40  , 0.10  , 0.221  , 0.070  , 0.145    , 0.089   , 0.038   , 0.063     , 0.25  
tab24.txt    , joint  , 0     , 0.40  , 0.10  , 0.215  , 0.074  , 0.144    , 0.100   , 0.082   , 0.091     , 0.24  
tab25.txt    , joint  , 0     , 0.40  , 0.10  , 0.237  , 0.070  , 0.153    , 0.082   , 0.053   , 0.067     , 0.25  
tab26.txt    , joint  , 0     , 0.40  , 0.10  , 0.184  , 0.067  , 0.126    , 0.085   , 0.056   , 0.070     , 0.22  
tab27.txt    , joint  , 0     , 0.40  , 0.10  , 0.212  , 0.051  , 0.132    , 0.099   , 0.035   , 0.067     , 0.27  
tab28.txt    , joint  , 0     , 0.40  , 0.10  , 0.189  , 0.079  , 0.134    , 0.095   , 0.119   , 0.107     , 0.23  
tab29.txt    , joint  , 0     , 0.40  , 0.10  , 0.217  , 0.075  , 0.146    , 0.098   , 0.082   , 0.090     , 0.25  
tab3.txt     , joint  , 0     , 0.40  , 0.10  , 0.181  , 0.077  , 0.129    , 0.088   , 0.031   , 0.060     , 0.22  
tab30.txt    , joint  , 0     , 0.40  , 0.10  , 0.210  , 0.073  , 0.141    , 0.085   , 0.069   , 0.077     , 0.25  
tab31.txt    , joint  , 0     , 0.40  , 0.10  , 0.214  , 0.060  , 0.137    , 0.115   , 0.050   , 0.083     , 0.22  
tab32.txt    , joint  , 0     , 0.40  , 0.10  , 0.190  , 0.061  , 0.126    , 0.103   , 0.053   , 0.078     , 0.26  
tab33.txt    , joint  , 0     , 0.40  , 0.10  , 0.188  , 0.056  , 0.122    , 0.095   , 0.052   , 0.073     , 0.21  
