filename     , method , norme , relax , regul , ePredA , ePredB , ePredavg , eDistrA , eDistrB , eDistravg , cpu   
tab1.txt     , joint  , 0     , 0.40  , 0.10  , 0.484  , 0.249  , 0.366    , 0.383   , 0.283   , 0.333     , 21.19 
tab10.txt    , joint  , 0     , 0.40  , 0.10  , 0.216  , 0.243  , 0.230    , 0.218   , 0.191   , 0.204     , 0.11  
tab100.txt   , joint  , 0     , 0.40  , 0.10  , 0.214  , 0.062  , 0.138    , 0.171   , 0.105   , 0.138     , 0.10  
tab11.txt    , joint  , 0     , 0.40  , 0.10  , 0.272  , 0.230  , 0.251    , 0.319   , 0.228   , 0.273     , 0.13  
tab12.txt    , joint  , 0     , 0.40  , 0.10  , 0.238  , 0.071  , 0.154    , 0.094   , 0.090   , 0.092     , 0.10  
tab13.txt    , joint  , 0     , 0.40  , 0.10  , 0.259  , 0.073  , 0.166    , 0.244   , 0.122   , 0.183     , 0.10  
tab14.txt    , joint  , 0     , 0.40  , 0.10  , 0.488  , 0.266  , 0.377    , 0.295   , 0.223   , 0.259     , 0.13  
tab15.txt    , joint  , 0     , 0.40  , 0.10  , 0.635  , 0.506  , 0.571    , 0.529   , 0.416   , 0.472     , 0.11  
tab16.txt    , joint  , 0     , 0.40  , 0.10  , 0.476  , 0.257  , 0.366    , 0.335   , 0.280   , 0.307     , 0.11  
tab17.txt    , joint  , 0     , 0.40  , 0.10  , 0.263  , 0.252  , 0.258    , 0.219   , 0.165   , 0.192     , 0.13  
tab18.txt    , joint  , 0     , 0.40  , 0.10  , 0.480  , 0.238  , 0.359    , 0.318   , 0.225   , 0.272     , 0.11  
tab19.txt    , joint  , 0     , 0.40  , 0.10  , 0.542  , 0.505  , 0.523    , 0.472   , 0.354   , 0.413     , 0.11  
tab2.txt     , joint  , 0     , 0.40  , 0.10  , 0.503  , 0.240  , 0.371    , 0.391   , 0.267   , 0.329     , 0.14  
tab20.txt    , joint  , 0     , 0.40  , 0.10  , 0.244  , 0.233  , 0.238    , 0.292   , 0.247   , 0.270     , 0.10  
tab21.txt    , joint  , 0     , 0.40  , 0.10  , 0.560  , 0.246  , 0.403    , 0.426   , 0.332   , 0.379     , 0.11  
tab22.txt    , joint  , 0     , 0.40  , 0.10  , 0.252  , 0.255  , 0.254    , 0.230   , 0.191   , 0.210     , 0.14  
tab23.txt    , joint  , 0     , 0.40  , 0.10  , 0.243  , 0.230  , 0.236    , 0.242   , 0.208   , 0.225     , 0.11  
tab24.txt    , joint  , 0     , 0.40  , 0.10  , 0.486  , 0.243  , 0.364    , 0.395   , 0.290   , 0.343     , 0.11  
tab25.txt    , joint  , 0     , 0.40  , 0.10  , 0.498  , 0.302  , 0.400    , 0.405   , 0.343   , 0.374     , 0.14  
tab26.txt    , joint  , 0     , 0.40  , 0.10  , 0.244  , 0.427  , 0.336    , 0.302   , 0.288   , 0.295     , 0.11  
tab27.txt    , joint  , 0     , 0.40  , 0.10  , 0.235  , 0.051  , 0.143    , 0.169   , 0.149   , 0.159     , 0.11  
tab28.txt    , joint  , 0     , 0.40  , 0.10  , 0.557  , 0.511  , 0.534    , 0.555   , 0.376   , 0.465     , 0.14  
tab29.txt    , joint  , 0     , 0.40  , 0.10  , 0.460  , 0.262  , 0.361    , 0.353   , 0.288   , 0.321     , 0.11  
tab3.txt     , joint  , 0     , 0.40  , 0.10  , 0.223  , 0.069  , 0.146    , 0.124   , 0.111   , 0.118     , 0.11  
tab30.txt    , joint  , 0     , 0.40  , 0.10  , 0.479  , 0.253  , 0.366    , 0.346   , 0.228   , 0.287     , 0.14  
tab31.txt    , joint  , 0     , 0.40  , 0.10  , 0.243  , 0.224  , 0.234    , 0.278   , 0.138   , 0.208     , 0.11  
tab32.txt    , joint  , 0     , 0.40  , 0.10  , 0.495  , 0.267  , 0.381    , 0.339   , 0.261   , 0.300     , 0.11  
tab33.txt    , joint  , 0     , 0.40  , 0.10  , 0.362  , 0.243  , 0.302    , 0.306   , 0.244   , 0.275     , 0.14  
tab34.txt    , joint  , 0     , 0.40  , 0.10  , 0.238  , 0.258  , 0.248    , 0.216   , 0.185   , 0.201     , 0.11  
tab35.txt    , joint  , 0     , 0.40  , 0.10  , 0.257  , 0.239  , 0.248    , 0.251   , 0.180   , 0.215     , 0.11  
tab36.txt    , joint  , 0     , 0.40  , 0.10  , 0.478  , 0.258  , 0.368    , 0.331   , 0.246   , 0.289     , 0.14  
tab37.txt    , joint  , 0     , 0.40  , 0.10  , 0.463  , 0.494  , 0.478    , 0.453   , 0.360   , 0.407     , 0.11  
tab38.txt    , joint  , 0     , 0.40  , 0.10  , 0.514  , 0.244  , 0.379    , 0.378   , 0.294   , 0.336     , 0.11  
tab39.txt    , joint  , 0     , 0.40  , 0.10  , 0.512  , 0.241  , 0.377    , 0.342   , 0.262   , 0.302     , 0.14  
tab4.txt     , joint  , 0     , 0.40  , 0.10  , 0.245  , 0.077  , 0.161    , 0.126   , 0.111   , 0.119     , 0.11  
tab40.txt    , joint  , 0     , 0.40  , 0.10  , 0.237  , 0.237  , 0.237    , 0.320   , 0.196   , 0.258     , 0.11  
tab41.txt    , joint  , 0     , 0.40  , 0.10  , 0.461  , 0.380  , 0.420    , 0.491   , 0.364   , 0.428     , 0.14  
tab42.txt    , joint  , 0     , 0.40  , 0.10  , 0.251  , 0.240  , 0.245    , 0.324   , 0.227   , 0.276     , 0.11  
tab43.txt    , joint  , 0     , 0.40  , 0.10  , 0.477  , 0.257  , 0.367    , 0.340   , 0.286   , 0.313     , 0.11  
tab44.txt    , joint  , 0     , 0.40  , 0.10  , 0.475  , 0.432  , 0.454    , 0.500   , 0.382   , 0.441     , 0.14  
tab45.txt    , joint  , 0     , 0.40  , 0.10  , 0.226  , 0.264  , 0.245    , 0.201   , 0.172   , 0.186     , 0.11  
tab46.txt    , joint  , 0     , 0.40  , 0.10  , 0.501  , 0.276  , 0.389    , 0.367   , 0.296   , 0.332     , 0.11  
tab47.txt    , joint  , 0     , 0.40  , 0.10  , 0.216  , 0.067  , 0.141    , 0.160   , 0.141   , 0.150     , 0.14  
tab48.txt    , joint  , 0     , 0.40  , 0.10  , 0.493  , 0.274  , 0.384    , 0.313   , 0.279   , 0.296     , 0.11  
tab49.txt    , joint  , 0     , 0.40  , 0.10  , 0.229  , 0.076  , 0.152    , 0.199   , 0.180   , 0.189     , 0.11  
tab5.txt     , joint  , 0     , 0.40  , 0.10  , 0.259  , 0.255  , 0.257    , 0.230   , 0.215   , 0.222     , 0.14  
tab50.txt    , joint  , 0     , 0.40  , 0.10  , 0.255  , 0.237  , 0.246    , 0.251   , 0.206   , 0.228     , 0.13  
tab51.txt    , joint  , 0     , 0.40  , 0.10  , 0.260  , 0.248  , 0.254    , 0.221   , 0.186   , 0.204     , 0.11  
tab52.txt    , joint  , 0     , 0.40  , 0.10  , 0.360  , 0.241  , 0.300    , 0.318   , 0.304   , 0.311     , 0.15  
tab53.txt    , joint  , 0     , 0.40  , 0.10  , 0.484  , 0.236  , 0.360    , 0.330   , 0.270   , 0.300     , 0.11  
tab54.txt    , joint  , 0     , 0.40  , 0.10  , 0.480  , 0.247  , 0.363    , 0.441   , 0.331   , 0.386     , 0.11  
tab55.txt    , joint  , 0     , 0.40  , 0.10  , 0.513  , 0.254  , 0.384    , 0.373   , 0.304   , 0.338     , 0.14  
tab56.txt    , joint  , 0     , 0.40  , 0.10  , 0.472  , 0.258  , 0.365    , 0.306   , 0.282   , 0.294     , 0.11  
tab57.txt    , joint  , 0     , 0.40  , 0.10  , 0.483  , 0.510  , 0.496    , 0.426   , 0.329   , 0.378     , 0.11  
tab58.txt    , joint  , 0     , 0.40  , 0.10  , 0.608  , 0.509  , 0.558    , 0.582   , 0.437   , 0.510     , 0.14  
tab59.txt    , joint  , 0     , 0.40  , 0.10  , 0.486  , 0.452  , 0.469    , 0.352   , 0.308   , 0.330     , 0.10  
tab6.txt     , joint  , 0     , 0.40  , 0.10  , 0.227  , 0.229  , 0.228    , 0.227   , 0.232   , 0.230     , 0.13  
tab60.txt    , joint  , 0     , 0.40  , 0.10  , 0.246  , 0.101  , 0.173    , 0.143   , 0.121   , 0.132     , 0.15  
tab61.txt    , joint  , 0     , 0.40  , 0.10  , 0.469  , 0.250  , 0.359    , 0.379   , 0.278   , 0.329     , 0.11  
tab62.txt    , joint  , 0     , 0.40  , 0.10  , 0.487  , 0.416  , 0.452    , 0.402   , 0.313   , 0.358     , 0.11  
tab63.txt    , joint  , 0     , 0.40  , 0.10  , 0.247  , 0.245  , 0.246    , 0.287   , 0.236   , 0.262     , 0.14  
tab64.txt    , joint  , 0     , 0.40  , 0.10  , 0.246  , 0.256  , 0.251    , 0.227   , 0.183   , 0.205     , 0.11  
tab65.txt    , joint  , 0     , 0.40  , 0.10  , 0.229  , 0.236  , 0.233    , 0.268   , 0.222   , 0.245     , 0.11  
tab66.txt    , joint  , 0     , 0.40  , 0.10  , 0.484  , 0.246  , 0.365    , 0.360   , 0.290   , 0.325     , 0.14  
tab67.txt    , joint  , 0     , 0.40  , 0.10  , 0.419  , 0.240  , 0.330    , 0.314   , 0.220   , 0.267     , 0.11  
tab68.txt    , joint  , 0     , 0.40  , 0.10  , 0.497  , 0.233  , 0.365    , 0.399   , 0.304   , 0.351     , 0.11  
tab69.txt    , joint  , 0     , 0.40  , 0.10  , 0.468  , 0.245  , 0.356    , 0.326   , 0.247   , 0.286     , 0.13  
tab7.txt     , joint  , 0     , 0.40  , 0.10  , 0.237  , 0.256  , 0.246    , 0.276   , 0.274   , 0.275     , 0.11  
tab70.txt    , joint  , 0     , 0.40  , 0.10  , 0.481  , 0.279  , 0.380    , 0.462   , 0.347   , 0.404     , 0.11  
tab71.txt    , joint  , 0     , 0.40  , 0.10  , 0.476  , 0.244  , 0.360    , 0.446   , 0.334   , 0.390     , 0.14  
tab72.txt    , joint  , 0     , 0.40  , 0.10  , 0.245  , 0.242  , 0.243    , 0.241   , 0.247   , 0.244     , 0.10  
tab73.txt    , joint  , 0     , 0.40  , 0.10  , 0.492  , 0.241  , 0.366    , 0.314   , 0.214   , 0.264     , 0.11  
tab74.txt    , joint  , 0     , 0.40  , 0.10  , 0.524  , 0.497  , 0.510    , 0.489   , 0.400   , 0.444     , 0.14  
tab75.txt    , joint  , 0     , 0.40  , 0.10  , 0.470  , 0.355  , 0.412    , 0.358   , 0.336   , 0.347     , 0.11  
tab76.txt    , joint  , 0     , 0.40  , 0.10  , 0.525  , 0.441  , 0.483    , 0.481   , 0.365   , 0.423     , 0.12  
